"","Gm.","Year","DATE","X","Tm","Opp","W.L","Win","Loss","Save","Time","D.N","Attendance","TAVG","TMAX","TMIN"
"1",1,2017,"2017-04-03","boxscore","BOS","PIT","W","Porcello","Cole","Kimbrel","3:03","D",36594,47,55,38
"2",2,2017,"2017-04-05","boxscore","BOS","PIT","W-wo","Kelly","Bastardo","","3:53","N",36137,40,41,37
"3",7,2017,"2017-04-11","boxscore","BOS","BAL","W","Pomeranz","Bundy","","3:15","N",37497,64,84,52
"4",8,2017,"2017-04-12","boxscore","BOS","BAL","L","Givens","Wright","","3:46","N",32211,55,60,48
"5",9,2017,"2017-04-13","boxscore","BOS","PIT","W","Barnes","Nicasio","Kimbrel","3:15","D",32400,53,59,45
"6",10,2017,"2017-04-14","boxscore","BOS","TBR","L","Archer","Porcello","","3:37","N",36813,51,60,44
"7",11,2017,"2017-04-15","boxscore","BOS","TBR","W","Sale","Hunter","Kimbrel","2:54","D",36686,54,70,42
"8",12,2017,"2017-04-16","boxscore","BOS","TBR","W","Kelly","Farquhar","Kimbrel","3:46","D",36209,69,86,57
"9",13,2017,"2017-04-17","boxscore","BOS","TBR","W","Wright","Snell","Kimbrel","3:07","D",37318,70,75,49
"10",20,2017,"2017-04-26","boxscore","BOS","NYY","L","Severino","Porcello","Chapman","3:16","N",32072,50,56,45
"11",21,2017,"2017-04-27","boxscore","BOS","NYY","L","Tanaka","Sale","","2:21","N",34054,53,59,50
"12",22,2017,"2017-04-28","boxscore","BOS","CHC","W","Pomeranz","Arrieta","Kimbrel","3:28","N",37054,63,82,51
"13",23,2017,"2017-04-29","boxscore","BOS","CHC","L","Lackey","Wright","Davis","3:00","D",36776,73,84,59
"14",24,2017,"2017-04-30","boxscore","BOS","CHC","W","Barnes","Uehara","","3:28","N",36916,55,64,45
"15",25,2017,"2017-05-01","boxscore","BOS","BAL","L","Bundy","Porcello","Brach","3:10","N",33489,47,48,45
"16",26,2017,"2017-05-02","boxscore","BOS","BAL","W","Sale","Asher","Kimbrel","2:33","N",32932,49,66,44
"17",27,2017,"2017-05-03","boxscore","BOS","BAL","W","Pomeranz","Gausman","Kimbrel","3:24","N",33162,56,64,49
"18",28,2017,"2017-05-04","boxscore","BOS","BAL","L","Wilson","Kendrick","","3:21","N",36563,51,56,46
"19",35,2017,"2017-05-12","boxscore","BOS","TBR","L","Cobb","Porcello","Colome","3:24","N",36496,49,53,47
"20",36,2017,"2017-05-13","boxscore","BOS","TBR","W","Sale","Snell","Kimbrel","2:54","D",35447,49,53,45
"21",37,2017,"2017-05-14","boxscore","BOS","TBR","L","Andriese","Pomeranz","","4:32","D",35080,48,51,46
"22",44,2017,"2017-05-23","boxscore","BOS","TEX","W","Porcello","Cashner","","3:23","N",34769,57,68,53
"23",45,2017,"2017-05-24","boxscore","BOS","TEX","W","Sale","Dyson","","2:59","N",36089,59,64,54
"24",46,2017,"2017-05-25","boxscore","BOS","TEX","W","Pomeranz","Martinez","","3:23","N",33484,53,55,50
"25",47,2017,"2017-05-26","boxscore","BOS","SEA","W","Rodriguez","Gallardo","Kimbrel","3:11","N",35080,53,60,49
"26",48,2017,"2017-05-27","boxscore","BOS","SEA","W","Johnson","Whalen","","2:23","D",36985,56,61,53
"27",49,2017,"2017-05-28","boxscore","BOS","SEA","L","Bergman","Porcello","","3:14","D",37174,58,67,54
"28",60,2017,"2017-06-09","boxscore","BOS","DET","W","Barnes","Wilson","Kimbrel","3:36","N",36853,63,79,55
"29",61,2017,"2017-06-10","boxscore","BOS","DET","W","Sale","Saupold","","3:39","N",37162,73,85,61
"30",62,2017,"2017-06-11","boxscore","BOS","DET","L","Norris","Pomeranz","","4:06","N",35457,79,92,66
"31",63,2017,"2017-06-12","boxscore","BOS","PHI","W-wo","Barnes","Fien","","4:16","N",36757,84,95,71
"32",64,2017,"2017-06-13","boxscore","BOS","PHI","W-wo","Abad","Garcia","","4:24","N",37141,85,95,72
"33",73,2017,"2017-06-23","boxscore","BOS","LAA","W","Porcello","Meyer","","3:07","N",37034,76,90,65
"34",74,2017,"2017-06-24","boxscore","BOS","LAA","L","Ramirez","Price","Parker","3:34","N",36868,76,88,71
"35",75,2017,"2017-06-25","boxscore","BOS","LAA","L","Bridwell","Fister","Petit","2:50","D",36474,77,85,65
"36",76,2017,"2017-06-26","boxscore","BOS","MIN","W","Sale","Berrios","Kimbrel","2:55","N",37172,71,80,62
"37",77,2017,"2017-06-27","boxscore","BOS","MIN","W","Pomeranz","Santiago","","3:18","N",36804,68,77,58
"38",78,2017,"2017-06-28","boxscore","BOS","MIN","L","Mejia","Porcello","Kintzler","3:14","N",37487,67,79,58
"39",79,2017,"2017-06-29","boxscore","BOS","MIN","W","Price","Gibson","Kimbrel","3:24","N",37445,71,79,63
"40",90,2017,"2017-07-14","boxscore","BOS","NYY","W-wo","Scott","Chapman","","3:27","N",37570,62,67,60
"41",91,2017,"2017-07-15","boxscore","BOS","NYY","L","Heller","Fister","","5:50","D",36936,66,73,62
"42",92,2017,"2017-07-16","boxscore","BOS","NYY","L","Sabathia","Porcello","Chapman","3:13","D",37343,74,81,69
"43",93,2017,"2017-07-16","boxscore","BOS","NYY","W","Price","Tanaka","Kimbrel","2:59","N",36719,74,81,69
"44",94,2017,"2017-07-17","boxscore","BOS","TOR","L","Tepera","Hembree","Osuna","3:18","N",36144,76,83,68
"45",95,2017,"2017-07-18","boxscore","BOS","TOR","W-wo","Velazquez","Bolsinger","","4:59","N",36488,74,82,68
"46",96,2017,"2017-07-19","boxscore","BOS","TOR","W","Pomeranz","Sanchez","","2:47","N",37360,79,93,72
"47",97,2017,"2017-07-20","boxscore","BOS","TOR","L","Leone","Fister","Osuna","3:25","D",37094,84,92,71
"48",104,2017,"2017-07-28","boxscore","BOS","KCR","L","Vargas","Porcello","Herrera","2:44","N",37321,72,82,66
"49",105,2017,"2017-07-29","boxscore","BOS","KCR","W-wo","Barnes","Minor","","4:45","N",36912,68,71,60
"50",106,2017,"2017-07-30","boxscore","BOS","KCR","L","Hammel","Barnes","Herrera","3:13","D",36480,66,73,60
"51",107,2017,"2017-07-31","boxscore","BOS","CLE","W","Fister","Clevinger","","2:47","N",37169,70,80,61
"52",108,2017,"2017-08-01","boxscore","BOS","CLE","W-wo","Kimbrel","Allen","","3:36","N",37126,74,80,67
"53",109,2017,"2017-08-03","boxscore","BOS","CHW","W","Porcello","Gonzalez","","3:26","N",37442,74,84,66
"54",110,2017,"2017-08-04","boxscore","BOS","CHW","W-wo","Hembree","Bummer","","3:43","N",36612,75,85,68
"55",111,2017,"2017-08-05","boxscore","BOS","CHW","W","Pomeranz","Shields","Kimbrel","2:41","N",36599,72,77,67
"56",112,2017,"2017-08-06","boxscore","BOS","CHW","W","Fister","Pelfrey","Kimbrel","2:36","D",37283,71,79,63
"57",118,2017,"2017-08-14","boxscore","BOS","CLE","L","Bauer","Fister","","3:14","N",37430,72,78,63
"58",119,2017,"2017-08-15","boxscore","BOS","STL","W","Porcello","Leake","","2:52","N",37345,73,80,66
"59",120,2017,"2017-08-16","boxscore","BOS","STL","W-wo","Kimbrel","Duke","","3:35","N",37181,75,85,66
"60",121,2017,"2017-08-18","boxscore","BOS","NYY","W","Reed","Kahnle","Kimbrel","4:09","N",36784,72,81,65
"61",122,2017,"2017-08-19","boxscore","BOS","NYY","L","Sabathia","Sale","Betances","3:09","N",37274,70,74,65
"62",123,2017,"2017-08-20","boxscore","BOS","NYY","W","Porcello","Gray","","3:36","D",36911,75,85,72
"63",128,2017,"2017-08-25","boxscore","BOS","BAL","L","Hellickson","Porcello","","3:37","N",37191,68,76,63
"64",129,2017,"2017-08-26","boxscore","BOS","BAL","L","Gausman","Rodriguez","","2:58","D",36655,67,74,60
"65",130,2017,"2017-08-27","boxscore","BOS","BAL","L","Miley","Fister","Brach","3:22","D",36625,65,71,58
"66",138,2017,"2017-09-04","boxscore","BOS","TOR","L","Happ","Porcello","","3:25","N",34311,66,81,58
"67",139,2017,"2017-09-05","boxscore","BOS","TOR","W-wo","Velazquez","Rowley","","6:00","N",33009,74,88,65
"68",140,2017,"2017-09-06","boxscore","BOS","TOR","W","Fister","Biagini","","2:57","N",33190,70,79,62
"69",141,2017,"2017-09-08","boxscore","BOS","TBR","W","Pomeranz","Archer","","3:14","N",34781,65,74,59
"70",142,2017,"2017-09-09","boxscore","BOS","TBR","W","Sale","Andriese","","3:05","N",36734,62,68,55
"71",143,2017,"2017-09-10","boxscore","BOS","TBR","L","Cobb","Porcello","Colome","3:22","D",35859,62,69,56
"72",144,2017,"2017-09-12","boxscore","BOS","OAK","W","Rodriguez","Manaea","","3:06","N",34355,72,86,61
"73",145,2017,"2017-09-13","boxscore","BOS","OAK","L","Cotton","Fister","","3:07","N",36366,71,78,64
"74",146,2017,"2017-09-14","boxscore","BOS","OAK","W","Pomeranz","Gossett","","3:19","D",35470,74,84,67
"75",156,2017,"2017-09-25","boxscore","BOS","TOR","L","Anderson","Pomeranz","Osuna","2:57","N",33940,71,78,64
"76",157,2017,"2017-09-26","boxscore","BOS","TOR","L","Happ","Sale","","3:04","N",33999,69,80,63
"77",158,2017,"2017-09-27","boxscore","BOS","TOR","W","Porcello","Estrada","","2:57","N",34445,74,86,65
"78",159,2017,"2017-09-28","boxscore","BOS","HOU","L","Peacock","Rodriguez","","3:31","N",34222,75,78,57
"79",160,2017,"2017-09-29","boxscore","BOS","HOU","L","Morton","Fister","Giles","2:47","N",36623,59,68,52
"80",161,2017,"2017-09-30","boxscore","BOS","HOU","W","Pomeranz","McCullers","","3:19","D",35722,56,59,50
"81",162,2017,"2017-10-01","boxscore","BOS","HOU","L","McHugh","Abad","Clippard","3:09","D",34517,55,66,47
"82",6,2016,"2016-04-11","boxscore","BOS","BAL","L","Brach","Kimbrel","Britton","3:26","D",37160,48,60,42
"83",7,2016,"2016-04-12","boxscore","BOS","BAL","L","Wright","Buchholz","","3:23","N",31114,55,60,43
"84",8,2016,"2016-04-13","boxscore","BOS","BAL","W","Kelly","Jimenez","Kimbrel","3:13","N",31011,45,50,38
"85",9,2016,"2016-04-15","boxscore","BOS","TOR","W","Porcello","Dickey","Kimbrel","3:02","N",31415,45,54,38
"86",10,2016,"2016-04-16","boxscore","BOS","TOR","W","Price","Estrada","Kimbrel","2:43","D",36267,47,54,41
"87",11,2016,"2016-04-17","boxscore","BOS","TOR","L","Sanchez","Wright","","3:09","D",37217,46,54,39
"88",12,2016,"2016-04-18","boxscore","BOS","TOR","L","Happ","Uehara","Storen","3:12","D",37168,51,67,42
"89",13,2016,"2016-04-19","boxscore","BOS","TBR","L","Ramirez","Barnes","Colome","3:25","N",32061,47,54,44
"90",14,2016,"2016-04-20","boxscore","BOS","TBR","W","Porcello","Archer","","3:02","N",31689,49,51,44
"91",15,2016,"2016-04-21","boxscore","BOS","TBR","L","Ramirez","Cuevas","Colome","4:16","D",37954,55,77,43
"92",21,2016,"2016-04-27","boxscore","BOS","ATL","W","Wright","Norris","","3:02","N",33380,45,62,37
"93",22,2016,"2016-04-28","boxscore","BOS","ATL","L","Chacin","Buchholz","Vizcaino","3:22","N",32232,49,54,41
"94",23,2016,"2016-04-29","boxscore","BOS","NYY","W","Uehara","Betances","Kimbrel","2:50","N",37115,47,51,43
"95",24,2016,"2016-04-30","boxscore","BOS","NYY","W","Porcello","Pineda","","3:30","N",37901,49,55,41
"96",25,2016,"2016-05-01","boxscore","BOS","NYY","W","Price","Nova","Kimbrel","3:17","N",34279,48,53,43
"97",32,2016,"2016-05-09","boxscore","BOS","OAK","W","Buchholz","Gray","","3:46","N",35227,55,66,46
"98",33,2016,"2016-05-10","boxscore","BOS","OAK","W","O'Sullivan","Manaea","","3:07","N",32167,57,71,47
"99",34,2016,"2016-05-11","boxscore","BOS","OAK","W","Porcello","Surkamp","","3:17","N",33283,61,68,54
"100",35,2016,"2016-05-12","boxscore","BOS","HOU","W","Price","Keuchel","","2:56","N",34982,61,66,54
"101",36,2016,"2016-05-13","boxscore","BOS","HOU","L","Feldman","Barnes","Gregerson","3:49","N",33148,61,74,52
"102",37,2016,"2016-05-14","boxscore","BOS","HOU","W-wo","Uehara","Feliz","","4:13","D",37430,66,77,59
"103",38,2016,"2016-05-15","boxscore","BOS","HOU","W","Hembree","Feldman","Kimbrel","3:40","D",35736,58,61,45
"104",42,2016,"2016-05-20","boxscore","BOS","CLE","L","Kluber","Buchholz","Allen","3:07","N",37354,60,71,51
"105",43,2016,"2016-05-21","boxscore","BOS","CLE","W","Kelly","Bauer","","3:17","D",37254,64,76,53
"106",44,2016,"2016-05-22","boxscore","BOS","CLE","W","Porcello","Salazar","Kimbrel","3:23","D",36021,57,62,52
"107",45,2016,"2016-05-24","boxscore","BOS","COL","W","Price","De La Rosa","","2:55","N",36123,56,59,52
"108",46,2016,"2016-05-25","boxscore","BOS","COL","W","Wright","Bettis","","3:09","N",36430,63,88,53
"109",47,2016,"2016-05-26","boxscore","BOS","COL","L","Gray","Buchholz","","2:51","N",36162,72,79,58
"110",55,2016,"2016-06-03","boxscore","BOS","TOR","L","Dickey","Price","Osuna","3:10","N",37129,60,70,57
"111",56,2016,"2016-06-04","boxscore","BOS","TOR","W","Wright","Stroman","Kimbrel","3:08","D",37762,65,70,61
"112",57,2016,"2016-06-05","boxscore","BOS","TOR","L","Estrada","Rodriguez","","2:44","D",35823,64,68,60
"113",63,2016,"2016-06-14","boxscore","BOS","BAL","L","Tillman","Price","Britton","2:47","N",38009,67,79,55
"114",64,2016,"2016-06-15","boxscore","BOS","BAL","W","Wright","Gausman","Kimbrel","2:58","N",36233,74,85,66
"115",65,2016,"2016-06-16","boxscore","BOS","BAL","L","Wilson","Rodriguez","","2:53","N",36757,71,77,61
"116",66,2016,"2016-06-17","boxscore","BOS","SEA","L","Iwakuma","Elias","Cishek","2:49","N",35896,66,74,59
"117",67,2016,"2016-06-18","boxscore","BOS","SEA","W","Porcello","Sampson","","2:53","D",37195,66,72,60
"118",68,2016,"2016-06-19","boxscore","BOS","SEA","W","Price","Diaz","Kimbrel","3:05","D",37211,68,82,57
"119",69,2016,"2016-06-20","boxscore","BOS","CHW","L","Duke","Kimbrel","Robertson","3:33","N",36291,71,83,60
"120",70,2016,"2016-06-21","boxscore","BOS","CHW","L","Sale","Buchholz","Robertson","2:54","N",36544,73,87,64
"121",71,2016,"2016-06-22","boxscore","BOS","CHW","L","Jennings","Uehara","Duke","3:38","N",37413,72,78,64
"122",72,2016,"2016-06-23","boxscore","BOS","CHW","W-wo","Kimbrel","Purke","","4:25","D",37790,69,77,60
"123",79,2016,"2016-07-01","boxscore","BOS","LAA","W","Wright","Chacin","Kimbrel","3:36","N",37117,76,86,68
"124",80,2016,"2016-07-02","boxscore","BOS","LAA","L","Santiago","Buchholz","","3:38","N",36552,73,80,65
"125",81,2016,"2016-07-03","boxscore","BOS","LAA","W","O'Sullivan","Shoemaker","","3:52","D",36801,73,84,64
"126",82,2016,"2016-07-04","boxscore","BOS","TEX","W","Porcello","Martinez","","3:40","D",36253,77,88,66
"127",83,2016,"2016-07-05","boxscore","BOS","TEX","L","Ramos","Price","","3:21","N",35964,70,76,64
"128",84,2016,"2016-07-06","boxscore","BOS","TEX","W","Wright","Perez","","3:19","N",37175,78,94,71
"129",85,2016,"2016-07-08","boxscore","BOS","TBR","W","Ross","Archer","Uehara","3:20","N",37739,63,67,61
"130",86,2016,"2016-07-09","boxscore","BOS","TBR","W","Porcello","Moore","Uehara","2:43","D",36900,62,65,59
"131",87,2016,"2016-07-10","boxscore","BOS","TBR","W","Price","Odorizzi","","2:31","D",36669,62,64,59
"132",91,2016,"2016-07-19","boxscore","BOS","SFG","W","Porcello","Peavy","","2:42","N",38082,78,84,68
"133",92,2016,"2016-07-20","boxscore","BOS","SFG","W","Barnes","Cain","","3:46","N",38201,74,84,65
"134",93,2016,"2016-07-21","boxscore","BOS","MIN","W","Wright","Duffey","","2:45","N",37566,79,91,67
"135",94,2016,"2016-07-22","boxscore","BOS","MIN","L","Gibson","Rodriguez","Kintzler","3:00","N",37001,84,98,73
"136",95,2016,"2016-07-23","boxscore","BOS","MIN","L","Pressly","Layne","Kintzler","4:11","N",37600,83,94,72
"137",96,2016,"2016-07-24","boxscore","BOS","MIN","W","Porcello","Milone","Ziegler","3:15","D",36806,77,91,68
"138",97,2016,"2016-07-25","boxscore","BOS","DET","L","Verlander","Pomeranz","Rodriguez","3:27","N",37479,76,92,67
"139",98,2016,"2016-07-26","boxscore","BOS","DET","L","Wilson","Ross","Rodriguez","3:33","N",38378,84,94,76
"140",99,2016,"2016-07-27","boxscore","BOS","DET","L","Rondon","Ziegler","Wilson","2:55","D",37842,81,87,73
"141",111,2016,"2016-08-09","boxscore","BOS","NYY","W","Porcello","Severino","Barnes","3:13","N",38089,75,84,70
"142",112,2016,"2016-08-10","boxscore","BOS","NYY","L","Clippard","Abad","","4:15","N",37779,74,80,68
"143",113,2016,"2016-08-11","boxscore","BOS","NYY","L","Cessa","Ziegler","Betances","3:02","N",38161,83,96,75
"144",114,2016,"2016-08-12","boxscore","BOS","ARI","W","Price","Corbin","","2:53","N",37555,86,98,78
"145",115,2016,"2016-08-13","boxscore","BOS","ARI","W","Ross","Bradley","Kimbrel","3:12","N",37653,74,82,68
"146",116,2016,"2016-08-14","boxscore","BOS","ARI","W","Porcello","Greinke","","2:49","D",36842,80,96,69
"147",128,2016,"2016-08-26","boxscore","BOS","KCR","L","Kennedy","Wright","Herrera","3:14","N",38134,80,91,73
"148",129,2016,"2016-08-27","boxscore","BOS","KCR","W","Price","Duffy","","3:03","N",37933,78,83,69
"149",130,2016,"2016-08-28","boxscore","BOS","KCR","L","Strahm","Rodriguez","","3:25","N",37337,72,78,66
"150",131,2016,"2016-08-29","boxscore","BOS","TBR","W","Porcello","Andriese","","3:11","N",36948,77,90,69
"151",132,2016,"2016-08-30","boxscore","BOS","TBR","L","Romero","Buchholz","Colome","3:11","N",37083,71,77,64
"152",133,2016,"2016-08-31","boxscore","BOS","TBR","W","Tazawa","Ramirez","Kimbrel","3:10","D",36786,74,82,68
"153",143,2016,"2016-09-12","boxscore","BOS","BAL","W","Price","Miley","","2:40","N",37551,66,72,59
"154",144,2016,"2016-09-13","boxscore","BOS","BAL","L","Bundy","Pomeranz","Britton","3:29","N",38041,70,83,60
"155",145,2016,"2016-09-14","boxscore","BOS","BAL","L","Gausman","Porcello","Britton","2:35","N",37973,74,90,62
"156",146,2016,"2016-09-15","boxscore","BOS","NYY","W-wo","Kelly","Betances","","3:52","N",37767,63,66,57
"157",147,2016,"2016-09-16","boxscore","BOS","NYY","W","Buchholz","Cessa","Kimbrel","3:13","N",37927,62,70,54
"158",148,2016,"2016-09-17","boxscore","BOS","NYY","W","Barnes","Warren","Kimbrel","3:36","D",37267,65,78,55
"159",149,2016,"2016-09-18","boxscore","BOS","NYY","W","Scott","Clippard","Uehara","3:31","N",37306,73,82,66
"160",160,2016,"2016-09-30","boxscore","BOS","TOR","W","Ziegler","Biagini","Kimbrel","3:25","N",37661,58,62,56
"161",161,2016,"2016-10-01","boxscore","BOS","TOR","L","Osuna","Kimbrel","","3:29","N",37396,57,59,54
